Department,Building,Count,Percentage,Latitude,Longitude,Blurb
Anthropology,EMBARHALL,2,2.04,34.412174709782700,-119.85549848586,Number of classes: 2 (2.02%)
Anthropology,IV THEA,4,4.08,34.41136595270830,-119.854818639572,Number of classes: 4 (4.02%)
Anthropology,HSSB,29,29.59,34.41414519353390,-119.850335590496,Number of classes: 29 (30.02%)
Anthropology,ARTS,2,2.04,34.412565870156300,-119.849301506747,Number of classes: 2 (2.02%)
Anthropology,SH,4,4.08,34.41354740577190,-119.847480780053,Number of classes: 4 (4.02%)
Anthropology,MUSIC,1,1.02,34.41233883841600,-119.847045451539,Number of classes: 1 (1.02%)
Anthropology,KERR,1,1.02,34.415263544529800,-119.846920345548,Number of classes: 1 (1.02%)
Anthropology,GIRV,12,12.24,34.4139658385782,-119.846673803972,Number of classes: 12 (12.02%)
Anthropology,NH,4,4.08,34.41512704053030,-119.846288190496,Number of classes: 4 (4.02%)
Anthropology,ELLSN,2,2.04,34.416617643011200,-119.845525252934,Number of classes: 2 (2.02%)
Anthropology,ELNG,2,2.04,34.416617643011200,-119.845525252934,Number of classes: 2 (2.02%)
Anthropology,CAMPBHALL,7,7.14,34.416499442462300,-119.845363405837,Number of classes: 7 (7.02%)
Anthropology,PSYCH,7,7.14,34.412021550670300,-119.845072663726,Number of classes: 7 (7.02%)
Anthropology,BIOEN,2,2.04,34.41333774635830,-119.84484866166,Number of classes: 2 (2.02%)
Anthropology,PHELP,12,12.24,34.41624938907930,-119.844830048167,Number of classes: 12 (12.02%)
Anthropology,BUCHN,4,4.08,34.415642395606100,-119.844671092344,Number of classes: 4 (4.02%)
Anthropology,WEBB,2,2.04,34.413684703162800,-119.844018695394,Number of classes: 2 (2.02%)
Anthropology,BRDA,1,1.02,34.41430670131960,-119.842841202141,Number of classes: 1 (1.02%)
Anthropology,CHEM,2,2.04,34.41564166984650,-119.842772122153,Number of classes: 2 (2.02%)
Art,EMBARHALL,4,2.2,34.412174709782700,-119.85549848586,Number of classes: 4 (2.02%)
Art,TD-W,3,1.65,34.41323858070960,-119.851842429641,Number of classes: 3 (2.02%)
Art,HSSB,3,1.65,34.41414519353390,-119.850335590496,Number of classes: 3 (2.02%)
Art,ARTS,115,63.19,34.412565870156300,-119.849301506747,Number of classes: 115 (63.02%)
Art,SH,1,0.55,34.41354740577190,-119.847480780053,Number of classes: 1 (1.02%)
Art,GIRV,1,0.55,34.4139658385782,-119.846673803972,Number of classes: 1 (1.02%)
Art,NH,1,0.55,34.41512704053030,-119.846288190496,Number of classes: 1 (1.02%)
Art,CRST,41,22.53,34.41172435082740,-119.845804010736,Number of classes: 41 (23.02%)
Art,PSYCH,3,1.65,34.412021550670300,-119.845072663726,Number of classes: 3 (2.02%)
Art,BUCHN,1,0.55,34.415642395606100,-119.844671092344,Number of classes: 1 (1.02%)
Art,WEBB,1,0.55,34.413684703162800,-119.844018695394,Number of classes: 1 (1.02%)
Art,BRDA,3,1.65,34.41430670131960,-119.842841202141,Number of classes: 3 (2.02%)
Art,CHEM,3,1.65,34.41564166984650,-119.842772122153,Number of classes: 3 (2.02%)
Art,HFH,2,1.1,34.413980451232600,-119.841710019331,Number of classes: 2 (1.02%)
Art History,EMBARHALL,5,4.72,34.412174709782700,-119.85549848586,Number of classes: 5 (5.02%)
Art History,IV THEA,3,2.83,34.41136595270830,-119.854818639572,Number of classes: 3 (3.02%)
Art History,TD-W,5,4.72,34.41323858070960,-119.851842429641,Number of classes: 5 (5.02%)
Art History,HSSB,4,3.77,34.41414519353390,-119.850335590496,Number of classes: 4 (4.02%)
Art History,ARTS,77,72.64,34.412565870156300,-119.849301506747,Number of classes: 77 (73.02%)
Art History,GIRV,1,0.94,34.4139658385782,-119.846673803972,Number of classes: 1 (1.02%)
Art History,BUCHN,8,7.55,34.415642395606100,-119.844671092344,Number of classes: 8 (8.02%)
Art History,LSB,1,0.94,34.41203912485620,-119.843595593253,Number of classes: 1 (1.02%)
Art History,BRDA,2,1.89,34.41430670131960,-119.842841202141,Number of classes: 2 (2.02%)
Asian American Studies,EMBARHALL,2,2.5,34.412174709782700,-119.85549848586,Number of classes: 2 (2.02%)
Asian American Studies,IV THEA,1,1.25,34.41136595270830,-119.854818639572,Number of classes: 1 (1.02%)
Asian American Studies,TD-W,1,1.25,34.41323858070960,-119.851842429641,Number of classes: 1 (1.02%)
Asian American Studies,TD-E,3,3.75,34.413625700072,-119.850606345549,Number of classes: 3 (4.02%)
Asian American Studies,HSSB,14,17.5,34.41414519353390,-119.850335590496,Number of classes: 14 (18.02%)
Asian American Studies,ARTS,1,1.25,34.412565870156300,-119.849301506747,Number of classes: 1 (1.02%)
Asian American Studies,SH,2,2.5,34.41354740577190,-119.847480780053,Number of classes: 2 (2.02%)
Asian American Studies,GIRV,43,53.75,34.4139658385782,-119.846673803972,Number of classes: 43 (54.02%)
Asian American Studies,NH,3,3.75,34.41512704053030,-119.846288190496,Number of classes: 3 (4.02%)
Asian American Studies,ELLSN,1,1.25,34.416617643011200,-119.845525252934,Number of classes: 1 (1.02%)
Asian American Studies,ELNG,1,1.25,34.416617643011200,-119.845525252934,Number of classes: 1 (1.02%)
Asian American Studies,PHELP,4,5.0,34.41624938907930,-119.844830048167,Number of classes: 4 (5.02%)
Asian American Studies,BUCHN,2,2.5,34.415642395606100,-119.844671092344,Number of classes: 2 (2.02%)
Asian American Studies,BRDA,1,1.25,34.41430670131960,-119.842841202141,Number of classes: 1 (1.02%)
Asian American Studies,HFH,2,2.5,34.413980451232600,-119.841710019331,Number of classes: 2 (2.02%)
Astronomy,HSSB,3,27.27,34.41414519353390,-119.850335590496,Number of classes: 3 (27.02%)
Astronomy,CAMPBHALL,1,9.09,34.416499442462300,-119.845363405837,Number of classes: 1 (9.02%)
Astronomy,WEBB,1,9.09,34.413684703162800,-119.844018695394,Number of classes: 1 (9.02%)
Astronomy,BRDA,6,54.55,34.41430670131960,-119.842841202141,Number of classes: 6 (55.02%)
Biological Engineering,NH,1,33.33,34.41512704053030,-119.846288190496,Number of classes: 1 (33.02%)
Biological Engineering,PHELP,2,66.67,34.41624938907930,-119.844830048167,Number of classes: 2 (67.02%)
Biology,GIRV,1,5.56,34.4139658385782,-119.846673803972,Number of classes: 1 (6.02%)
Biology,CRST,16,88.89,34.41172435082740,-119.845804010736,Number of classes: 16 (89.02%)
Biology,BSIF,1,5.56,34.41239909723010,-119.84316376166,Number of classes: 1 (6.02%)
Black Studies,IV THEA,1,0.91,34.41136595270830,-119.854818639572,Number of classes: 1 (1.02%)
Black Studies,TD-W,7,6.36,34.41323858070960,-119.851842429641,Number of classes: 7 (6.02%)
Black Studies,HSSB,2,1.82,34.41414519353390,-119.850335590496,Number of classes: 2 (2.02%)
Black Studies,ARTS,1,0.91,34.412565870156300,-119.849301506747,Number of classes: 1 (1.02%)
Black Studies,SH,25,22.73,34.41354740577190,-119.847480780053,Number of classes: 25 (23.02%)
Black Studies,GIRV,3,2.73,34.4139658385782,-119.846673803972,Number of classes: 3 (3.02%)
Black Studies,NH,37,33.64,34.41512704053030,-119.846288190496,Number of classes: 37 (34.02%)
Black Studies,ELLSN,1,0.91,34.416617643011200,-119.845525252934,Number of classes: 1 (1.02%)
Black Studies,ELNG,1,0.91,34.416617643011200,-119.845525252934,Number of classes: 1 (1.02%)
Black Studies,PSYCH,6,5.45,34.412021550670300,-119.845072663726,Number of classes: 6 (5.02%)
Black Studies,BIOEN,1,0.91,34.41333774635830,-119.84484866166,Number of classes: 1 (1.02%)
Black Studies,PHELP,19,17.27,34.41624938907930,-119.844830048167,Number of classes: 19 (17.02%)
Black Studies,BUCHN,6,5.45,34.415642395606100,-119.844671092344,Number of classes: 6 (5.02%)
Black Studies,HFH,1,0.91,34.413980451232600,-119.841710019331,Number of classes: 1 (1.02%)
Chemical Engineering,SH,2,2.82,34.41354740577190,-119.847480780053,Number of classes: 2 (3.02%)
Chemical Engineering,ELLSN,4,5.63,34.416617643011200,-119.845525252934,Number of classes: 4 (6.02%)
Chemical Engineering,ELNG,4,5.63,34.416617643011200,-119.845525252934,Number of classes: 4 (6.02%)
Chemical Engineering,PHELP,1,1.41,34.41624938907930,-119.844830048167,Number of classes: 1 (1.02%)
Chemical Engineering,ENGR,64,90.14,34.415168928276500,-119.841490977575,Number of classes: 64 (90.02%)
Chemistry and Biochemistry,EMBARHALL,1,0.12,34.412174709782700,-119.85549848586,Number of classes: 1 (0.02%)
Chemistry and Biochemistry,TD-W,3,0.36,34.41323858070960,-119.851842429641,Number of classes: 3 (0.02%)
Chemistry and Biochemistry,HSSB,6,0.71,34.41414519353390,-119.850335590496,Number of classes: 6 (1.02%)
Chemistry and Biochemistry,ED,2,0.24,34.415294489287100,-119.850264932825,Number of classes: 2 (0.02%)
Chemistry and Biochemistry,ARTS,7,0.83,34.412565870156300,-119.849301506747,Number of classes: 7 (1.02%)
Chemistry and Biochemistry,SH,2,0.24,34.41354740577190,-119.847480780053,Number of classes: 2 (0.02%)
Chemistry and Biochemistry,KERR,1,0.12,34.415263544529800,-119.846920345548,Number of classes: 1 (0.02%)
Chemistry and Biochemistry,GIRV,29,3.45,34.414169412115500,-119.846764999091,Number of classes: 29 (3.02%)
Chemistry and Biochemistry,NH,8,0.95,34.41512704053030,-119.846288190496,Number of classes: 8 (1.02%)
Chemistry and Biochemistry,CRST,4,0.48,34.41172435082740,-119.845804010736,Number of classes: 4 (0.02%)
Chemistry and Biochemistry,ELLSN,8,0.95,34.416617643011200,-119.845525252934,Number of classes: 8 (1.02%)
Chemistry and Biochemistry,ELNG,8,0.95,34.416617643011200,-119.845525252934,Number of classes: 8 (1.02%)
Chemistry and Biochemistry,PSYCH,3,0.36,34.412021550670300,-119.845072663726,Number of classes: 3 (0.02%)
Chemistry and Biochemistry,BIOEN,4,0.48,34.41333774635830,-119.84484866166,Number of classes: 4 (0.02%)
Chemistry and Biochemistry,PHELP,43,5.11,34.41624938907930,-119.844830048167,Number of classes: 43 (5.02%)
Chemistry and Biochemistry,BUCHN,28,3.33,34.415642395606100,-119.844671092344,Number of classes: 28 (3.02%)
Chemistry and Biochemistry,WEBB,2,0.24,34.413684703162800,-119.844018695394,Number of classes: 2 (0.02%)
Chemistry and Biochemistry,LSB,4,0.48,34.41203912485620,-119.843595593253,Number of classes: 4 (0.02%)
Chemistry and Biochemistry,PSB-N,626,74.44,34.416197343595100,-119.843325168843,Number of classes: 626 (74.02%)
Chemistry and Biochemistry,BRDA,1,0.12,34.41430670131960,-119.842841202141,Number of classes: 1 (0.02%)
Chemistry and Biochemistry,CHEM,52,6.18,34.41564166984650,-119.842772122153,Number of classes: 52 (6.02%)
Chemistry and Biochemistry,HFH,4,0.48,34.413980451232600,-119.841710019331,Number of classes: 4 (0.02%)
Chemistry and Biochemistry,ENGR,3,0.36,34.415168928276500,-119.841490977575,Number of classes: 3 (0.02%)
Chicano Studies,IV THEA,6,7.41,34.41136595270830,-119.854818639572,Number of classes: 6 (7.02%)
Chicano Studies,HSSB,5,6.17,34.41414519353390,-119.850335590496,Number of classes: 5 (6.02%)
Chicano Studies,ARTS,1,1.23,34.412565870156300,-119.849301506747,Number of classes: 1 (1.02%)
Chicano Studies,SH,27,33.33,34.41354740577190,-119.847480780053,Number of classes: 27 (33.02%)
Chicano Studies,GIRV,10,12.35,34.4139658385782,-119.846673803972,Number of classes: 10 (12.02%)
Chicano Studies,NH,2,2.47,34.41512704053030,-119.846288190496,Number of classes: 2 (2.02%)
Chicano Studies,CAMPBHALL,1,1.23,34.416499442462300,-119.845363405837,Number of classes: 1 (1.02%)
Chicano Studies,PSYCH,3,3.7,34.412021550670300,-119.845072663726,Number of classes: 3 (4.02%)
Chicano Studies,PHELP,24,29.63,34.41624938907930,-119.844830048167,Number of classes: 24 (30.02%)
Chicano Studies,BUCHN,2,2.47,34.415642395606100,-119.844671092344,Number of classes: 2 (2.02%)
Chinese,TD-W,1,1.18,34.41323858070960,-119.851842429641,Number of classes: 1 (1.02%)
Chinese,HSSB,45,52.94,34.41414519353390,-119.850335590496,Number of classes: 45 (53.02%)
Chinese,ED,1,1.18,34.415294489287100,-119.850264932825,Number of classes: 1 (1.02%)
Chinese,ARTS,2,2.35,34.412565870156300,-119.849301506747,Number of classes: 2 (2.02%)
Chinese,SH,4,4.71,34.41354740577190,-119.847480780053,Number of classes: 4 (5.02%)
Chinese,GIRV,19,22.35,34.4139658385782,-119.846673803972,Number of classes: 19 (22.02%)
Chinese,NH,2,2.35,34.41512704053030,-119.846288190496,Number of classes: 2 (2.02%)
Chinese,ELLSN,1,1.18,34.416617643011200,-119.845525252934,Number of classes: 1 (1.02%)
Chinese,ELNG,1,1.18,34.416617643011200,-119.845525252934,Number of classes: 1 (1.02%)
Chinese,PSYCH,2,2.35,34.412021550670300,-119.845072663726,Number of classes: 2 (2.02%)
Chinese,PHELP,8,9.41,34.41624938907930,-119.844830048167,Number of classes: 8 (9.02%)
Classics,HSSB,11,37.93,34.41414519353390,-119.850335590496,Number of classes: 11 (38.02%)
Classics,ARTS,1,3.45,34.412565870156300,-119.849301506747,Number of classes: 1 (3.02%)
Classics,SH,1,3.45,34.41354740577190,-119.847480780053,Number of classes: 1 (3.02%)
Classics,GIRV,4,13.79,34.414169412115500,-119.846764999091,Number of classes: 4 (14.02%)
Classics,CAMPBHALL,7,24.14,34.416499442462300,-119.845363405837,Number of classes: 7 (24.02%)
Classics,PHELP,1,3.45,34.41624938907930,-119.844830048167,Number of classes: 1 (3.02%)
Classics,BUCHN,3,10.34,34.415642395606100,-119.844671092344,Number of classes: 3 (10.02%)
Classics,LSB,1,3.45,34.41203912485620,-119.843595593253,Number of classes: 1 (3.02%)
Communication,IV THEA,5,2.46,34.41136595270830,-119.854818639572,Number of classes: 5 (2.02%)
Communication,TD-W,4,1.97,34.41323858070960,-119.851842429641,Number of classes: 4 (2.02%)
Communication,HSSB,20,9.85,34.41414519353390,-119.850335590496,Number of classes: 20 (10.02%)
Communication,SSMS,14,6.9,34.41546380329060,-119.849556946318,Number of classes: 14 (7.02%)
Communication,ARTS,14,6.9,34.412565870156300,-119.849301506747,Number of classes: 14 (7.02%)
Communication,SH,11,5.42,34.41354740577190,-119.847480780053,Number of classes: 11 (5.02%)
Communication,MUSIC,1,0.49,34.41233883841600,-119.847045451539,Number of classes: 1 (0.02%)
Communication,GIRV,15,7.39,34.414169412115500,-119.846764999091,Number of classes: 15 (7.02%)
Communication,NH,2,0.99,34.41512704053030,-119.846288190496,Number of classes: 2 (1.02%)
Communication,ELLSN,20,9.85,34.416617643011200,-119.845525252934,Number of classes: 20 (10.02%)
Communication,ELNG,20,9.85,34.416617643011200,-119.845525252934,Number of classes: 20 (10.02%)
Communication,PSYCH,6,2.96,34.412021550670300,-119.845072663726,Number of classes: 6 (3.02%)
Communication,BIOEN,6,2.96,34.41333774635830,-119.84484866166,Number of classes: 6 (3.02%)
Communication,PHELP,48,23.65,34.41624938907930,-119.844830048167,Number of classes: 48 (24.02%)
Communication,BUCHN,15,7.39,34.415642395606100,-119.844671092344,Number of classes: 15 (7.02%)
Communication,WEBB,14,6.9,34.413684703162800,-119.844018695394,Number of classes: 14 (7.02%)
Communication,BRDA,3,1.48,34.41430670131960,-119.842841202141,Number of classes: 3 (1.02%)
Communication,CHEM,1,0.49,34.41564166984650,-119.842772122153,Number of classes: 1 (0.02%)
Communication,HFH,4,1.97,34.413980451232600,-119.841710019331,Number of classes: 4 (2.02%)
Comparative Literature,EMBARHALL,1,1.02,34.412174709782700,-119.85549848586,Number of classes: 1 (1.02%)
Comparative Literature,IV THEA,1,1.02,34.41136595270830,-119.854818639572,Number of classes: 1 (1.02%)
Comparative Literature,TD-W,2,2.04,34.41323858070960,-119.851842429641,Number of classes: 2 (2.02%)
Comparative Literature,HSSB,12,12.24,34.41414519353390,-119.850335590496,Number of classes: 12 (12.02%)
Comparative Literature,ARTS,3,3.06,34.412565870156300,-119.849301506747,Number of classes: 3 (3.02%)
Comparative Literature,KERR,2,2.04,34.415263544529800,-119.846920345548,Number of classes: 2 (2.02%)
Comparative Literature,GIRV,23,23.47,34.414169412115500,-119.846764999091,Number of classes: 23 (23.02%)
Comparative Literature,NH,3,3.06,34.41512704053030,-119.846288190496,Number of classes: 3 (3.02%)
Comparative Literature,ELLSN,7,7.14,34.416617643011200,-119.845525252934,Number of classes: 7 (7.02%)
Comparative Literature,ELNG,7,7.14,34.416617643011200,-119.845525252934,Number of classes: 7 (7.02%)
Comparative Literature,PSYCH,3,3.06,34.412021550670300,-119.845072663726,Number of classes: 3 (3.02%)
Comparative Literature,BIOEN,1,1.02,34.41333774635830,-119.84484866166,Number of classes: 1 (1.02%)
Comparative Literature,PHELP,22,22.45,34.41624938907930,-119.844830048167,Number of classes: 22 (22.02%)
Comparative Literature,BUCHN,7,7.14,34.415642395606100,-119.844671092344,Number of classes: 7 (7.02%)
Comparative Literature,WEBB,1,1.02,34.413684703162800,-119.844018695394,Number of classes: 1 (1.02%)
Comparative Literature,LSB,1,1.02,34.41203912485620,-119.843595593253,Number of classes: 1 (1.02%)
Comparative Literature,CHEM,8,8.16,34.41564166984650,-119.842772122153,Number of classes: 8 (8.02%)
Comparative Literature,HFH,1,1.02,34.413980451232600,-119.841710019331,Number of classes: 1 (1.02%)
Computer Science,EMBARHALL,1,0.61,34.412174709782700,-119.85549848586,Number of classes: 1 (1.02%)
Computer Science,IV THEA,6,3.68,34.41136595270830,-119.854818639572,Number of classes: 6 (4.02%)
Computer Science,TD-W,13,7.98,34.41323858070960,-119.851842429641,Number of classes: 13 (8.02%)
Computer Science,HSSB,1,0.61,34.41414519353390,-119.850335590496,Number of classes: 1 (1.02%)
Computer Science,SH,10,6.13,34.41354740577190,-119.847480780053,Number of classes: 10 (6.02%)
Computer Science,GIRV,6,3.68,34.414169412115500,-119.846764999091,Number of classes: 6 (4.02%)
Computer Science,NH,16,9.82,34.41512704053030,-119.846288190496,Number of classes: 16 (10.02%)
Computer Science,CRST,4,2.45,34.41172435082740,-119.845804010736,Number of classes: 4 (2.02%)
Computer Science,ELLSN,4,2.45,34.416617643011200,-119.845525252934,Number of classes: 4 (2.02%)
Computer Science,ELNG,4,2.45,34.416617643011200,-119.845525252934,Number of classes: 4 (2.02%)
Computer Science,PSYCH,21,12.88,34.412021550670300,-119.845072663726,Number of classes: 21 (13.02%)
Computer Science,BIOEN,2,1.23,34.41333774635830,-119.84484866166,Number of classes: 2 (1.02%)
Computer Science,PHELP,12,7.36,34.41624938907930,-119.844830048167,Number of classes: 12 (7.02%)
Computer Science,BUCHN,21,12.88,34.415642395606100,-119.844671092344,Number of classes: 21 (13.02%)
Computer Science,WEBB,1,0.61,34.413684703162800,-119.844018695394,Number of classes: 1 (1.02%)
Computer Science,LSB,12,7.36,34.41203912485620,-119.843595593253,Number of classes: 12 (7.02%)
Computer Science,BRDA,3,1.84,34.41430670131960,-119.842841202141,Number of classes: 3 (2.02%)
Computer Science,CHEM,24,14.72,34.41564166984650,-119.842772122153,Number of classes: 24 (15.02%)
Computer Science,HFH,6,3.68,34.413980451232600,-119.841710019331,Number of classes: 6 (4.02%)
Computing (Creative Studies),NH,1,4.76,34.41512704053030,-119.846288190496,Number of classes: 1 (5.02%)
Computing (Creative Studies),CRST,19,90.48,34.41172435082740,-119.845804010736,Number of classes: 19 (90.02%)
Computing (Creative Studies),BUCHN,1,4.76,34.415642395606100,-119.844671092344,Number of classes: 1 (5.02%)
Computing (Creative Studies),NH,1,4.76,34.41512704053030,-119.846288190496,Number of classes: 1 (5.02%)
Computing (Creative Studies),CRST,19,90.48,34.41172435082740,-119.845804010736,Number of classes: 19 (90.02%)
Computing (Creative Studies),BUCHN,1,4.76,34.415642395606100,-119.844671092344,Number of classes: 1 (5.02%)
"Counseling, Clinical, School Psychology",EMBARHALL,7,12.5,34.412174709782700,-119.85549848586,Number of classes: 7 (12.02%)
"Counseling, Clinical, School Psychology",HSSB,1,1.79,34.41414519353390,-119.850335590496,Number of classes: 1 (2.02%)
"Counseling, Clinical, School Psychology",ED,32,57.14,34.415294489287100,-119.850264932825,Number of classes: 32 (57.02%)
"Counseling, Clinical, School Psychology",GIRV,2,3.57,34.414169412115500,-119.846764999091,Number of classes: 2 (4.02%)
"Counseling, Clinical, School Psychology",NH,1,1.79,34.41512704053030,-119.846288190496,Number of classes: 1 (2.02%)
"Counseling, Clinical, School Psychology",PSYCH,2,3.57,34.412021550670300,-119.845072663726,Number of classes: 2 (4.02%)
"Counseling, Clinical, School Psychology",PHELP,3,5.36,34.41624938907930,-119.844830048167,Number of classes: 3 (5.02%)
"Counseling, Clinical, School Psychology",BUCHN,2,3.57,34.415642395606100,-119.844671092344,Number of classes: 2 (4.02%)
"Counseling, Clinical, School Psychology",WEBB,2,3.57,34.413684703162800,-119.844018695394,Number of classes: 2 (4.02%)
